iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,b,ka_pop,omega_Cl,omega_V,omega_ka
230,276.355,2,0.0407619,0.44867,0.482397,0.0489463,1.50048,0.26288,0.115791,0.64166
231,273.621,2,0.0406249,0.45082,0.477291,0.0476489,1.48224,0.270833,0.120953,0.648927
232,279.795,2,0.0408489,0.447796,0.463909,0.05165,1.4332,0.271636,0.131961,0.665596
233,282.354,2,0.0415404,0.446255,0.490033,0.0483948,1.46546,0.272613,0.1307,0.660583
234,273.004,2,0.0410919,0.446024,0.44393,0.0539721,1.46857,0.290545,0.12234,0.649209
235,270.015,2,0.0407196,0.447289,0.431449,0.0551311,1.48173,0.275912,0.116284,0.669614
236,270.76,2,0.0401242,0.455572,0.447521,0.0521188,1.53263,0.262238,0.122684,0.637063
237,267.778,2,0.0404133,0.456144,0.445715,0.0526841,1.51558,0.261056,0.11533,0.628212
238,280.494,2,0.0400089,0.454238,0.448241,0.0549082,1.51657,0.269838,0.118358,0.634986
239,279.018,2,0.0396204,0.456268,0.458205,0.0542709,1.5486,0.279638,0.111084,0.634991
240,273.507,2,0.0393394,0.457584,0.458644,0.053896,1.55374,0.269861,0.10621,0.634451
241,276.203,2,0.0391671,0.459509,0.464988,0.0523031,1.58587,0.266795,0.108567,0.648689
242,271.943,2,0.0394383,0.459291,0.465795,0.0511412,1.56877,0.261228,0.112642,0.640594
243,270.738,2,0.039775,0.459105,0.437177,0.0563039,1.5466,0.255299,0.116297,0.630193
244,276.333,2,0.0394634,0.460014,0.430643,0.0570168,1.56766,0.267483,0.11943,0.64539
245,271.43,2,0.0397205,0.462257,0.400365,0.0620899,1.58658,0.267072,0.125236,0.639515
246,276.021,2,0.0400708,0.462871,0.408979,0.0613564,1.59325,0.268821,0.12352,0.637154
247,266.337,2,0.0398839,0.463291,0.444797,0.0521399,1.59616,0.271747,0.124576,0.638347
248,269.807,2,0.0398882,0.463789,0.444692,0.0513834,1.58032,0.274378,0.127403,0.643948
249,271.791,2,0.0401644,0.464762,0.433831,0.0536687,1.57935,0.272981,0.130893,0.64332
250,270.685,2,0.040025,0.464657,0.420592,0.0558699,1.5837,0.270526,0.131539,0.659571
251,275.056,2,0.0398453,0.463072,0.405694,0.0593258,1.56117,0.26932,0.132912,0.661692
252,271.699,2,0.0398127,0.461029,0.411985,0.0579584,1.5352,0.270496,0.133103,0.658322
253,275.373,2,0.0399143,0.460226,0.408121,0.0589896,1.54412,0.267506,0.131814,0.687056
254,273.969,2,0.0401019,0.459521,0.409122,0.0587285,1.54326,0.273792,0.130046,0.695538
255,279.211,2,0.0401399,0.458949,0.400678,0.0611286,1.55054,0.269602,0.129055,0.718848
256,281.162,2,0.0402732,0.458021,0.397481,0.0623444,1.55924,0.266406,0.130282,0.735704
257,273.649,2,0.0403821,0.457388,0.404002,0.0606638,1.56524,0.269878,0.129213,0.735539
258,266.465,2,0.0404582,0.456912,0.411872,0.0584535,1.56583,0.271704,0.126292,0.726325
259,267.41,2,0.0404818,0.455654,0.415029,0.0575535,1.55198,0.274692,0.123194,0.715291
260,269.085,2,0.0405699,0.454222,0.421173,0.0562884,1.54168,0.274552,0.121132,0.71092
261,267.856,2,0.0406158,0.454047,0.424156,0.055342,1.53772,0.272788,0.122362,0.706821
262,267.445,2,0.0406413,0.453588,0.43075,0.0537604,1.53161,0.274217,0.1224,0.697991
263,266.405,2,0.0406074,0.453567,0.429388,0.0539084,1.52685,0.273193,0.122825,0.685461
264,268.458,2,0.0404999,0.453572,0.421971,0.0553789,1.52251,0.272539,0.122964,0.676863
265,271.529,2,0.0404833,0.454061,0.416752,0.0565004,1.51809,0.27244,0.124508,0.67224
266,274.177,2,0.0404721,0.454275,0.417006,0.056477,1.51892,0.274627,0.126025,0.669889
267,272.891,2,0.0403889,0.454707,0.41992,0.0558501,1.52587,0.27585,0.125926,0.674469
268,269.474,2,0.0403994,0.454718,0.418405,0.0560321,1.53036,0.274815,0.125386,0.682157
269,276.24,2,0.0403595,0.454581,0.419891,0.055824,1.53109,0.274751,0.12596,0.688282
270,277.609,2,0.040322,0.453848,0.420873,0.0557003,1.53092,0.275014,0.126232,0.695321
271,274.28,2,0.0403394,0.453386,0.422109,0.0555609,1.53123,0.274892,0.125738,0.697583
272,279.046,2,0.0403243,0.453486,0.424406,0.0555043,1.52926,0.274147,0.1256,0.695023
